Process,Periodicity,Status_Today,Status_Legend,Remarks,SourceFile
Recepción de ficheros de RF,Daily,OK,OK,Number of lines received: 11408,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Recepción de ficheros de RV,Daily,OK,KO,Number of lines received: 5403,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Recepción de ficheros de Opderivados,Daily,OK,KR,Number of lines received: 115,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Recepción de ficheros de Prderivados,Daily,OK,PDTE,Number of lines received: 932,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Recepción de ficheros de AC_RF,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Recepción de ficheros de AC_RV,Daily,PDTE,nan,nan,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Reconciliation_Job,Monthly,OK,nan,5 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
AutomaticDashboard,Monthly,OK,nan,2064 dashboards,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Depositary Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Management Fees Calculation,Monthly,PDTE,nan,2 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Success Fees Calculation,Monthly,PDTE,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Ratios Job,Monthly,PDTE,nan,70 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Sections Job,Monthly,PDTE,nan,23 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Investment Policy Job Default,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Non Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Derivative Price Control Process,Daily,OK,nan,681,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
Fees Reconciliation Job,Monthly,OK,nan,0 eligible,Control de ejecución de WA y procesos diarios - Megacompliance -01042025.xlsx
